ダウンロードした時刻：2025/07/05 23:32:48

,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃)
,,,,
,,品質情報,,品質情報
1965/7/1,28.7,8,22.4,8
1965/7/2,31.2,8,20.5,8
1965/7/3,23.8,8,20.0,8
1965/7/4,24.2,8,19.3,8
1965/7/5,25.2,8,21.6,8
1965/7/6,29.5,8,21.6,8
1965/7/7,26.6,8,22.3,8
1965/7/8,23.6,8,20.5,8
1965/7/9,26.4,8,20.6,8
1965/7/10,24.6,8,20.5,8
1965/7/11,27.3,8,20.1,8
1965/7/12,25.8,8,22.5,8
1965/7/13,26.0,8,21.7,8
1965/7/14,29.5,8,21.0,8
1965/7/15,31.1,8,22.0,8
1965/7/16,33.6,8,23.9,8
1965/7/17,28.0,8,24.0,8
1965/7/18,27.1,8,23.3,8
1965/7/19,31.3,8,22.6,8
1965/7/20,26.8,8,19.1,8
1965/7/21,20.2,8,17.8,8
1965/7/22,21.0,8,17.1,8
1965/7/23,21.5,8,19.1,8
1965/7/24,25.0,8,19.4,8
1965/7/25,27.5,8,20.7,8
1965/7/26,27.0,8,21.8,8
1965/7/27,27.7,8,22.8,8
1965/7/28,29.4,8,23.7,8
1965/7/29,32.3,8,23.4,8
1965/7/30,33.4,8,24.0,8
1965/7/31,31.5,8,25.0,8
1965/8/1,31.5,8,24.3,8
1965/8/2,32.1,8,24.1,8
1965/8/3,29.5,8,22.7,8
1965/8/4,32.4,8,23.5,8
1965/8/5,32.5,8,24.6,8
1965/8/6,31.0,8,25.1,8
1965/8/7,34.4,8,26.3,8
1965/8/8,30.6,8,25.1,8
1965/8/9,31.9,8,23.8,8
1965/8/10,31.1,8,23.9,8
1965/8/11,31.2,8,23.5,8
1965/8/12,33.1,8,24.8,8
1965/8/13,33.6,8,23.5,8
1965/8/14,28.0,8,22.5,8
1965/8/15,28.5,8,22.6,8
1965/8/16,28.5,8,21.5,8
1965/8/17,31.0,8,22.1,8
1965/8/18,31.2,8,22.4,8
1965/8/19,31.9,8,23.7,8
1965/8/20,32.4,8,24.2,8
1965/8/21,26.6,8,24.2,8
1965/8/22,29.1,8,23.5,8
1965/8/23,35.0,8,23.0,8
1965/8/24,33.3,8,23.5,8
1965/8/25,31.7,8,24.3,8
1965/8/26,29.6,8,22.3,8
1965/8/27,29.2,8,19.9,8
1965/8/28,29.5,8,21.0,8
1965/8/29,29.7,8,20.1,8
1965/8/30,28.4,8,20.6,8
1965/8/31,27.2,8,20.9,8
1965/9/1,27.8,8,20.5,8
1965/9/2,26.0,8,21.1,8
1965/9/3,29.9,8,21.7,8
1965/9/4,28.5,8,20.7,8
1965/9/5,29.3,8,19.8,8
1965/9/6,23.9,8,19.5,8
1965/9/7,26.9,8,19.9,8
1965/9/8,24.6,8,20.0,8
1965/9/9,20.5,8,18.6,8
1965/9/10,28.0,8,18.3,8
1965/9/11,28.8,8,22.1,8
1965/9/12,23.1,8,20.4,8
1965/9/13,22.4,8,16.7,8
1965/9/14,20.9,8,16.4,8
1965/9/15,27.5,8,19.2,8
1965/9/16,26.8,8,22.6,8
1965/9/17,28.9,8,23.4,8
1965/9/18,28.0,8,20.1,8
1965/9/19,26.9,8,17.5,8
1965/9/20,27.1,8,18.3,8
1965/9/21,26.9,8,18.3,8
1965/9/22,27.1,8,19.5,8
1965/9/23,24.3,8,20.1,8
1965/9/24,25.0,8,19.2,8
1965/9/25,19.8,8,16.2,8
