ダウンロードした時刻：2025/07/06 01:38:45

,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃)
,,,,
,,品質情報,,品質情報
1880/1/1,12.5,8,0.1,8
1880/1/2,10.1,8,-2.1,8
1880/1/3,12.9,8,1.2,8
1880/1/4,12.0,8,-1.3,8
1880/1/5,10.6,8,-3.1,8
1880/1/6,9.9,8,-2.3,8
1880/1/7,8.7,8,-4.5,8
1880/1/8,9.7,8,-3.7,8
1880/1/9,7.2,8,-3.3,8
1880/1/10,8.9,8,-0.4,8
1880/1/11,11.7,8,-0.3,8
1880/1/12,10.8,8,-0.7,8
1880/1/13,9.6,8,-2.8,8
1880/1/14,6.7,8,-3.3,8
1880/1/15,8.9,8,-4.3,8
1880/1/16,7.4,8,-3.4,8
1880/1/17,8.1,8,-6.4,8
1880/1/18,7.4,8,-3.2,8
1880/1/19,4.8,8,-1.8,8
1880/1/20,8.8,8,-2.4,8
1880/1/21,3.4,8,-1.2,8
1880/1/22,10.2,8,0.4,8
1880/1/23,5.9,8,-1.4,8
1880/1/24,6.6,8,-3.7,8
1880/1/25,7.0,8,-4.9,8
1880/1/26,9.4,8,-2.5,8
1880/1/27,8.2,8,-2.3,8
1880/1/28,10.6,8,-3.2,8
1880/1/29,8.6,8,-3.3,8
1880/1/30,6.9,8,-2.7,8
1880/1/31,7.9,8,-1.5,8
1880/2/1,5.7,8,-1.0,8
1880/2/2,12.4,8,-1.1,8
1880/2/3,16.2,8,0.0,8
1880/2/4,7.4,8,2.0,8
1880/2/5,7.3,8,-1.6,8
1880/2/6,4.8,8,-2.5,8
1880/2/7,7.8,8,3.3,8
1880/2/8,7.4,8,2.8,8
1880/2/9,4.8,8,1.8,8
1880/2/10,12.2,8,2.7,8
1880/2/11,9.5,8,4.2,8
1880/2/12,9.3,8,4.9,8
1880/2/13,12.3,8,2.3,8
1880/2/14,14.0,8,1.1,8
1880/2/15,15.8,8,1.3,8
1880/2/16,16.8,8,6.7,8
1880/2/17,7.4,8,4.2,8
1880/2/18,10.2,8,3.3,8
1880/2/19,6.7,8,1.2,8
1880/2/20,12.8,8,1.1,8
1880/2/21,11.2,8,4.6,8
1880/2/22,7.9,8,2.2,8
1880/2/23,8.6,8,-1.2,8
1880/2/24,8.4,8,-2.9,8
1880/2/25,7.9,8,-2.1,8
1880/2/26,10.9,8,-2.7,8
1880/2/27,11.7,8,4.5,8
1880/2/28,19.2,8,6.2,8
1880/2/29,5.6,8,0.3,8
1880/3/1,8.2,8,-2.1,8
1880/3/2,2.3,8,-0.8,8
1880/3/3,7.4,8,-3.1,8
1880/3/4,7.7,8,-2.2,8
1880/3/5,8.7,8,-1.5,8
1880/3/6,10.6,8,-1.8,8
1880/3/7,13.4,8,0.8,8
1880/3/8,6.7,8,3.8,8
1880/3/9,12.2,8,1.8,8
1880/3/10,15.2,8,2.1,8
1880/3/11,14.8,8,5.2,8
1880/3/12,16.1,8,5.1,8
1880/3/13,16.1,8,2.9,8
1880/3/14,18.6,8,5.2,8
1880/3/15,17.4,8,1.2,8
1880/3/16,14.6,8,3.4,8
1880/3/17,21.6,8,7.6,8
1880/3/18,18.3,8,10.4,8
1880/3/19,18.4,8,11.3,8
1880/3/20,16.8,8,1.4,8
1880/3/21,12.3,8,-0.2,8
1880/3/22,13.4,8,3.5,8
1880/3/23,14.8,8,5.6,8
1880/3/24,8.9,8,1.6,8
