ダウンロードした時刻：2025/07/05 23:54:50

,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃)
,,,,
,,品質情報,,品質情報
1935/7/1,28.6,8,23.3,8
1935/7/2,30.5,8,21.5,8
1935/7/3,28.7,8,21.6,8
1935/7/4,24.4,8,18.8,8
1935/7/5,29.9,8,18.6,8
1935/7/6,27.6,8,20.7,8
1935/7/7,25.4,8,20.7,8
1935/7/8,29.7,8,20.1,8
1935/7/9,29.4,8,19.6,8
1935/7/10,29.8,8,19.8,8
1935/7/11,23.8,8,18.3,8
1935/7/12,24.0,8,17.4,8
1935/7/13,24.7,8,18.7,8
1935/7/14,27.4,8,20.7,8
1935/7/15,32.2,8,21.0,8
1935/7/16,30.5,8,23.8,8
1935/7/17,28.4,8,19.9,8
1935/7/18,22.0,8,17.8,8
1935/7/19,22.4,8,17.2,8
1935/7/20,26.5,8,17.7,8
1935/7/21,28.9,8,21.5,8
1935/7/22,29.8,8,23.3,8
1935/7/23,31.9,8,25.2,8
1935/7/24,33.8,8,22.5,8
1935/7/25,25.1,8,20.0,8
1935/7/26,27.4,8,19.0,8
1935/7/27,28.4,8,20.5,8
1935/7/28,29.0,8,21.4,8
1935/7/29,31.6,8,22.4,8
1935/7/30,32.7,8,25.3,8
1935/7/31,33.3,8,24.3,8
1935/8/1,32.3,8,24.7,8
1935/8/2,32.7,8,25.3,8
1935/8/3,30.7,8,23.7,8
1935/8/4,30.6,8,22.7,8
1935/8/5,27.2,8,21.4,8
1935/8/6,27.7,8,21.4,8
1935/8/7,28.7,8,21.5,8
1935/8/8,29.0,8,20.6,8
1935/8/9,28.6,8,21.6,8
1935/8/10,26.5,8,22.0,8
1935/8/11,23.4,8,20.2,8
1935/8/12,27.0,8,21.5,8
1935/8/13,23.2,8,20.0,8
1935/8/14,21.2,8,18.2,8
1935/8/15,20.9,8,17.7,8
1935/8/16,20.6,8,18.2,8
1935/8/17,25.7,8,18.0,8
1935/8/18,27.4,8,19.2,8
1935/8/19,28.4,8,21.2,8
1935/8/20,31.7,8,21.2,8
1935/8/21,30.2,8,23.4,8
1935/8/22,30.1,8,22.6,8
1935/8/23,31.1,8,22.9,8
1935/8/24,32.1,8,24.6,8
1935/8/25,30.2,8,25.3,8
1935/8/26,31.5,8,25.7,8
1935/8/27,30.4,8,24.1,8
1935/8/28,28.9,8,24.5,8
1935/8/29,28.0,8,24.9,8
1935/8/30,32.2,8,23.1,8
1935/8/31,25.0,8,18.6,8
1935/9/1,19.7,8,17.4,8
1935/9/2,20.4,8,17.3,8
1935/9/3,26.5,8,19.0,8
1935/9/4,26.6,8,20.9,8
1935/9/5,25.9,8,20.8,8
1935/9/6,28.4,8,21.4,8
1935/9/7,29.5,8,21.5,8
1935/9/8,31.1,8,23.5,8
1935/9/9,31.9,8,22.2,8
1935/9/10,29.3,8,23.1,8
1935/9/11,23.9,8,18.0,8
1935/9/12,22.0,8,17.1,8
1935/9/13,25.8,8,18.2,8
1935/9/14,26.9,8,17.4,8
1935/9/15,20.4,8,16.5,8
1935/9/16,20.5,8,15.8,8
1935/9/17,19.3,8,14.3,8
1935/9/18,20.6,8,14.3,8
1935/9/19,24.3,8,15.1,8
1935/9/20,19.3,8,15.7,8
1935/9/21,17.9,8,15.3,8
1935/9/22,19.6,8,15.6,8
1935/9/23,19.1,8,14.9,8
1935/9/24,17.1,8,14.8,8
1935/9/25,28.8,8,16.9,8
